Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500,AVG,Reversed_rank
scVelo dynamical,72.4,59.8,59.8,68.7,69.71,7.02,74.8,33.8,78.42,91.28,40.8,67.5,48,28.2,56.6,44,47.68,24.77,26.78,21.3,30.2,13.5,30.7,46.82,31.6,20.4,67.6,66.92,16.85,7.46,15.84,31.4,1.4,22,54.92,20.8,5.6,65.4,70.77,71.72,63.05,82.4,80.3,50.9,57.49,66.8,50.6,19.8,23.14,90.71,29,91.25,4.2,98.3,71.4,19.53,15,42,1,45.59,41.23,39.59,39.89,51.2,27.3,31.8,35.06,17.2,38.92,36.8,,79.33,36.8,76.24,3.08,85.49,32.04,,5.26,23.92,87.41,10.16,59.34,58.6,85.1,48.6,55.8,64.8,3.2,44.71,9
scVelo stochastic,44.4,38.6,38.6,78.4,48.15,47.93,57.8,42.4,85.17,92.52,40.6,49.8,47,38.1,50.8,16.2,43.97,25.28,39.31,39.13,40.4,28.7,31.3,38.5,40.2,26.4,38.8,62.86,44.42,24.25,47.71,40.3,36.7,28.1,46.76,32.6,28.6,21.4,57.79,40.92,44.34,69.3,82.1,72,48.9,69.2,10.2,19.6,14.35,92.42,33.9,84.18,12.5,97.4,79.8,19.93,13.6,38,6,44.55,24.87,40.68,29.04,23.6,36,26.9,37.36,30.8,42.81,19.2,67.58,82.73,47.86,46,46.37,86.28,60.07,61.31,38.28,31.82,48.18,41.55,43.21,64.5,87.1,69.1,62.8,78.6,6.2,45.55,12
SDEvelo,3.5,42.2,42.2,34.6,70.93,49.54,21.2,41.41,9.99,51.66,,19.2,31.6,27.39,38.1,1.8,46.31,51.34,31.12,44.18,27.3,,46.6,47.68,14.8,,33,63.81,60.75,55.99,56.19,40.7,,4.4,68.06,35,,11.4,74.95,55.99,58.54,10.5,38,,70.37,9,1.8,1,30.99,51.66,43.54,81.64,6.2,77,81.4,25.57,13.4,,7.8,58.78,46.82,37.7,34.71,47,28.89,45.4,37.02,53,,32.8,67.72,9.99,37.99,80.21,34.19,24.38,87.86,51.89,73.92,,86.44,41.04,52.69,10.6,39.4,17.5,15.8,33.2,4.8,39.44,5
STT,41.4,31.3,31.3,60.5,52.12,66.05,,,58.67,85.78,39.05,47.9,42.6,64.29,44.1,37.8,,62.05,,60.12,44.7,17.49,45.3,,33.2,,46.4,,,,,,,40.7,,29,,47.2,,51.82,57.41,50.1,62.1,,,49,36,29.4,,85.78,,76.96,16.5,98.7,62.4,,14.8,37.11,14.4,,40.21,,45.81,,42.9,,41.39,42.2,,,,61.25,55.53,64.94,44.28,90.48,45.87,,40.67,,53.03,51.26,51.63,,48.3,51.8,34.6,39.2,,48.57,14
TFvelo,50.9,19.4,19.4,47.5,32.61,36.23,44.8,66.4,26.19,22.77,42.2,37.6,12.4,19,31.5,37.8,,26.93,,,32.7,16.3,19.2,32.7,,16.8,31.2,,26.66,33.83,26.33,39,18.4,48.8,54.61,,15.2,54.6,,42.51,21.74,23.1,44.3,67.2,50.53,,25.6,18.2,,22.79,39.82,39.56,23.6,50.3,59.7,37.86,29.6,32.6,66,,31.87,,,39,60.69,59.5,40.82,,39.22,69.4,,26.41,35.86,49.45,52.28,24.83,70.39,50.96,,74.88,38.74,21.56,31.73,41.1,44.8,61.2,42.6,42.8,12,37.8,4
TopicVelo,,,,,,,,,,,,,,,,,,,28.28,32.04,,,,,,,,,,,,,,,,,,,,,,76.26,55.1,,,60.08,,,,35.89,36.13,,,22.12,,,,,,,,37.39,,,,,,,,,,30.29,49.18,,,45.69,,,,,,,,63.06,52.83,55.74,52.52,41.45,,45.53,11
UniTVelo,62.4,73.7,73.7,51,53.55,27.93,17.6,41.2,80.35,84.43,42.3,69.8,54.4,34.8,55.2,49.2,47.11,36.96,38.49,34.85,35.2,43.3,41.7,45.73,33,41.4,55.6,71.69,44.13,38.69,38.75,52.5,50.4,57.9,67.21,48.8,47.2,48.6,75.33,59.06,59.45,68.4,72.3,30.2,75.94,68.8,49.2,37,27.33,90.13,39.73,88.4,11.3,97,73.9,20.72,17.4,40,5.4,57.04,33.63,41.68,39.77,38,28.62,40.5,37.55,39,39.82,30,66.99,85.88,37.24,77.1,48.95,85.26,55.46,52.18,57.42,33.49,79.18,56.53,62.99,44.5,79.8,44.9,49.4,67.8,44.4,51.16,17
VeloAE,27.8,70.5,57.1,54,3.38,15.09,2,,69.61,46.53,,63.3,,,26.9,6.6,28.83,40.62,30.22,37.14,54.8,,51.2,27.32,37.2,,37,24.05,50.55,72.99,3.36,27.4,,37.3,14.08,49.4,,66.2,9.66,1.31,27.43,42.2,24.1,,6.28,61,0.6,0.2,44.59,53.76,44.52,34.91,23.3,92.7,28.5,51.11,63.6,,36,33.91,33.13,39.78,39.83,40.1,,35.6,34.75,33.4,,30.8,58.31,79.77,30.47,79.38,0.98,79.25,92.23,55.18,39.47,,77,0.82,40.77,53.3,35.1,72.9,54.6,56.4,6,39.62,6
velocyto,68.01,60.16,60.16,71.76,39.69,63.92,70.4,65.93,86.7,96.26,38.4,72.4,29.8,22.5,55.7,79.8,43.65,26.2,28.98,48.23,45.77,11.96,37.94,42.04,40.24,19.11,33.4,72.21,31.26,51.55,46.44,54.17,29.91,82.21,33.7,57.14,24.14,67.4,51.32,18.95,42.97,56.28,60.1,64.92,48.35,55.73,59.15,75.65,20.86,97.06,34.99,91.52,27.34,95.08,55.28,35.27,34.41,38.83,27.57,41.46,30.76,37.85,35.51,52.86,32.9,42.91,45.68,52.62,39.88,42.66,62.05,87.36,42.05,69.83,75.89,85.71,74.51,59.42,83.01,64.49,76.83,48.79,52.84,38.4,58,56.6,29.2,50.1,65.39,52.09,18
VeloVAE,65.7,51.9,54.3,56.1,57.7,41.92,12,36.4,85.86,53.09,38.1,63.7,45,34.2,60.8,58.6,33.3,54.43,33.65,52.01,11.3,4,40.8,38.26,5.6,16,20.4,44.08,50.07,55.19,25.54,34.8,42.9,97.5,61.32,29.4,12.8,37.6,49.49,45.16,95.99,45.2,31.5,26.2,63.89,38.4,59.8,36.2,48,49.9,45.02,69.49,21,46.3,23.1,38.43,39.2,43.6,33,40.03,46.59,41.16,45.3,50,36.79,46.35,50.82,51.8,23.05,13.8,48.48,86.13,46.44,84.72,73.92,30.16,5.22,37.88,67.7,37.56,61.5,83.29,71.85,24.6,40.3,36.2,25.6,25.4,97.2,44.89,10
veloVI,59.9,71.9,72.7,81.7,80.2,83.99,89.4,41.3,83.36,91.75,34.8,67.7,48.8,30.4,55.7,67.6,48.1,47.37,31.88,39.17,43.8,48.6,58.3,39.43,45.2,39,68.6,55.37,77.73,31.64,78.88,72.8,46.7,83.7,50.78,59.4,35.2,70,52.05,85.77,79.23,85.3,87.95,91.99,40.14,81.6,37,72.8,33.94,91.64,34.78,92.43,0.7,98.3,88.1,13.21,3.6,36,2.6,39.17,38.34,52.32,31.07,40.9,32.4,28.8,36.52,40.4,39.52,30.6,65.04,80.97,47.43,89.25,74.54,84.24,91.02,68.86,61,29.43,88.38,68.59,83.03,73.8,81.4,78.9,89.2,81,51.8,58.88,20
