Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
scVelo dynamical,1.728,1.232,0.9052,1.283,0.4864,1.4742,1.4854,2.1173,0.9701,1.1533,1.0895,0.35,1.715,1.2476,1.154,0.4075,1.7669,0.9345,1.212,0.551,0.3044,2.3269,1.0393,1.6409,1.5355,0.4336,1.5157,0.9213,0.3213,0.5942,0.6418,0.3121,0.8033,,2.3468,0.8191,,0.9274,1.0518,1.4281,2.3535,0.7372,1.2348,0.4936,0.9459,0.9335,0.4266,1.3922,0.6737,0.8648,0.6543,1.5671,1.0907,1.0097,1.0885,4
scVelo stochastic,1.7279,1.232,0.9052,1.2846,0.4864,1.4742,1.4889,2.1174,0.9568,1.1535,1.2306,0.35,1.5331,1.3071,1.154,0.4075,1.7668,0.9345,1.212,0.551,0.3044,2.3269,1.0393,1.641,1.5355,0.5703,1.5154,0.9222,0.3243,0.6719,0.6418,0.3118,0.797,,2.3473,0.8191,,0.927,1.0517,2.209,2.3535,0.7372,1.2348,0.4946,0.9459,0.9335,0.4252,1.3922,0.6735,0.8648,0.6637,0.9953,1.0903,1.5672,1.1077,6
SDEvelo,1.7276,1.232,0.9053,,0.4864,1.4742,1.4889,2.1173,0.9704,1.1536,1.5692,0.3498,1.8443,1.2476,1.1541,0.4075,1.7668,0.9345,1.212,0.551,0.3044,2.3269,1.0393,1.6409,1.5355,,1.5162,0.9432,0.3143,0.0643,0.6418,0.3118,0.7968,,2.3468,0.8191,,0.9278,1.0798,1.4463,2.2517,0.7371,1.0825,0.4946,0.9459,0.9336,0.4277,1.3922,0.6737,0.8558,0.6637,1.0097,,1.5679,1.0956,5
STT,2.0291,1.8979,1.1327,1.2831,1.3311,1.9897,1.6533,2.0088,1.7484,1.7057,,0.7786,,1.9767,1.6715,0.2625,2.0278,1.2242,1.4663,0.9698,0.9698,2.838,1.4156,1.7477,1.8649,1.0885,,0.8169,,,0.8457,0.5339,1.0621,,2.854,,1.7417,,1.345,1.7622,2.782,0.9756,,0.8513,,1.179,0.9072,,1.0148,1.2078,0.6931,,,,1.4414,15
TFvelo,2.818,2.2136,2.3244,2.0914,1.4511,2.2101,2.3415,2.4327,1.6747,1.3543,2.5652,1.1512,2.8734,1.5538,1.9245,1.0771,2.6324,1.3595,2.0506,0.744,0.4751,3.1451,2.2688,1.8056,2.3506,0.854,,1.4477,,1.3472,0.8826,0.5156,0.9013,,2.8764,3.4709,,1.6686,1.7027,1.9701,,0.5743,2.5005,0.8564,0.9893,1.392,1.6725,1.8777,1.0423,1.2933,1.8847,2.0611,2.1082,2.4632,1.7804,17
TopicVelo,,0.9091,0.7386,0.5211,0.4961,0.7427,0.8759,0.8923,0.4188,0.3149,,,0.6531,,0.7457,0.2177,0.6485,0.9275,0.4824,0.3852,0.3212,0.6955,0.4442,1.3713,,0.485,0.5957,,0.5942,0.5942,0.5679,0.2089,0.1798,,0.6337,0.3404,1.1119,0.37,,1.4281,2.347,0.2786,1.2306,0.1869,1.4834,0.3566,0.3831,0.9676,0.2086,0.828,1.827,,,,0.6979,2
UniTVelo,1.7659,1.2327,0.9052,1.3568,0.4918,1.505,1.4929,2.1173,0.97,1.1919,1.0894,0.353,1.7317,1.3055,1.1981,0.4077,1.7748,0.9792,1.2123,0.551,0.3044,2.3839,1.066,1.6409,1.5622,0.4336,1.5311,0.9218,0.3213,0.5942,0.6442,0.312,0.8035,,2.3474,0.8615,1.4767,0.9268,1.0607,1.4281,2.3535,0.7372,1.2348,0.5058,0.9459,0.9563,0.4254,1.3922,0.6735,0.8648,1.9298,0.9937,1.0869,1.5673,1.1306,9
VeloAE,3.3331,2.012,3.1102,2.4245,2.3243,4.4537,4.235,3.0678,2.8456,2.6842,4.7177,0.5472,3.293,11.178,4.5702,0.9919,4.0897,1.7441,2.8525,1.102,0.7942,4.5345,3.5567,2.7874,3.5576,1.3912,1.6405,,1.3594,1.3127,1.0363,0.9118,2.302,,4.6662,3.3682,4.2046,2.1927,6.8697,1.4745,8.8719,0.8621,4.8171,1.2845,,3.2117,2.799,3.0707,2.0205,2.3236,3.2707,6.4074,2.1375,3.5253,3.1008,20
velocyto,2.8152,0.8198,1.9,1.8755,1.5696,1.333,1.2732,1.3637,1.4163,1.4795,1.8358,0.2176,1.8535,1.9492,1.311,0.2731,2.7504,0.7824,0.3244,0.566,0.3445,2.3116,4.1467,1.1481,0.8373,0.7718,2.3332,1.7707,0.6629,1.2593,0.4029,0.7014,1.1588,,2.1282,0.972,1.5864,1.4004,2.3819,2.7972,2.0198,0.9776,2.2389,0.7617,1.2471,1.6318,0.4321,0.7497,0.2854,0.4321,1.2163,0.6622,2.4323,3.1709,1.4166,14
VeloVAE,1.7128,1.368,0.839,1.2334,0.6259,1.4699,1.4686,2.1247,1.0137,1.2273,1.183,0.3519,1.7659,1.289,1.1511,0.3929,1.7387,0.9358,1.2459,0.5447,0.3112,2.3009,1.007,1.7084,1.8093,0.323,1.4818,0.886,0.3218,0.59,0.6349,0.312,0.784,,2.3726,0.8283,,0.9175,1.0331,1.4023,2.3027,0.7367,1.2239,0.5192,1.7607,0.932,0.4487,1.3839,0.6547,0.8403,1.8816,1.2383,1.0589,1.2286,1.133,10
veloVI,2.1075,1.7797,1.2567,1.9602,1.6937,2.1461,1.8679,2.2563,1.699,1.955,2.1766,0.8028,2.3602,3.4944,1.7646,0.406,2.5331,1.3836,1.6593,2.1928,0.6471,3.4667,1.6056,1.691,2.4814,1.1481,1.8804,1.3836,0.3349,1.1604,1.0939,0.532,1.0765,,2.8243,1.7559,,1.2211,1.5711,1.8714,2.9802,1.0386,2.1706,0.8955,0.9295,1.3889,1.5907,1.6732,1.5776,1.2863,0.6978,1.2357,1.1115,1.9772,1.6499,16
