Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
scVelo dynamical,0.6692,0.8884,0.9779,0.6576,0.7407,0.8743,0.778,0.7806,0.8761,0.7888,0.9924,1.1745,0.7452,1.1109,0.9211,1.1777,0.9907,1.0171,0.9812,1.159,1.183,0.7053,0.9566,0.6271,0.7235,1.1309,0.6537,0.9658,1.1937,1.0949,1.0666,1.2044,1.019,,0.6399,0.9769,,0.8437,0.8832,0.8474,0.7243,0.8974,0.9568,1.0189,0.9653,1.0615,1.0977,0.85,1.1536,1.0606,1.0107,0.5388,0.6272,0.8684,0.9202,5
scVelo stochastic,0.6692,0.8884,0.9779,0.6576,0.7407,0.8743,0.7772,0.7806,0.8763,0.7886,0.9584,1.1745,0.7646,1.1044,0.9211,1.1777,0.9907,1.0171,0.9812,1.159,1.183,0.7053,0.9566,0.6271,0.7235,1.1103,0.6536,0.9657,1.1901,1.0896,1.0666,1.2043,1.0155,,0.64,0.9769,,0.8439,0.8832,0.6107,0.7243,0.8974,0.9568,1.0186,0.9653,1.0616,1.0968,0.85,1.1537,1.0606,1.0041,0.8618,0.6313,0.5388,0.9144,6
SDEvelo,0.6692,0.8884,0.9779,,0.7407,0.8743,0.7772,0.7806,0.876,0.7882,0.5805,1.1745,0.8423,1.1109,0.9211,1.1777,0.9907,1.0171,0.9812,1.159,1.183,0.7053,0.9566,0.6271,0.7235,,0.6535,1.039,1.1923,1.2074,1.0666,1.2043,1.0156,,0.6399,0.9769,,0.8435,0.9579,0.8305,0.7225,0.8976,0.9935,1.0189,0.9653,1.0615,1.0965,0.85,1.1536,1.0582,1.0041,0.8684,,0.5389,0.9261,4
STT,0.6075,0.7828,0.8352,0.6578,0.5085,0.7035,0.6933,0.7411,0.5512,0.6684,,0.9515,,0.96,0.706,1.1228,0.8143,0.8793,0.7543,0.9996,0.9996,0.5657,0.8257,0.5974,0.7022,0.8972,,1.0554,,,0.9945,1.1142,0.8575,,0.5508,,0.5828,,0.7488,0.657,0.5914,0.9447,,0.9542,,0.9574,0.5233,,1.0322,0.8458,0.9656,,,,0.7975,14
TFvelo,0.563,0.8193,0.7575,0.8458,0.8152,0.6897,0.6198,0.7557,0.789,0.8788,0.7009,0.9624,0.7205,1.1011,0.754,1.0235,0.7909,0.8918,0.8719,1.1545,1.1848,0.6114,0.7825,0.743,0.7959,1.1032,,0.8764,,0.957,1.052,1.1812,1.0803,,0.5716,0.4807,,0.9219,0.8345,0.7948,,1.1851,0.6889,1.0742,1.0995,1.0324,0.9341,0.7398,1.1026,0.9729,0.8695,0.7777,0.6988,0.5286,0.8608,13
TopicVelo,,0,0.4427,0.0668,0.7529,0.5643,0.5753,0,0.0574,0.0807,,,0.4799,,0.431,0.7437,0.4495,1.0245,0.2971,0.3119,0.2712,0,0,0.7076,,1.1019,0.5332,,1.0949,1.0949,1.083,1.2225,0,,0,0,0.478,0.0772,,0.8474,0.7224,0.0507,0.9561,0,0.8156,0,0.133,0.5716,0,1.067,0.8722,,,,0.6054,20
UniTVelo,0.6647,0.8887,0.9779,0.6514,0.7446,0.8703,0.7758,0.7806,0.8762,0.7839,0.9926,1.1788,0.7462,1.1062,0.913,1.1776,0.9799,1.0091,0.9812,1.159,1.183,0.694,0.9501,0.6271,0.7239,1.1309,0.6618,0.9655,1.1937,1.0949,1.0666,1.2043,1.0197,,0.64,0.987,0.6815,0.8439,0.8866,0.8474,0.7243,0.8975,0.9568,1.0291,0.9653,1.0635,1.0975,0.85,1.1537,1.0606,0.8435,0.8644,0.636,0.539,0.9121,7
VeloAE,0.4954,0.8157,0.4056,0.5579,0.5509,0.3853,0.4384,0.5884,0.4198,0.6236,0.323,1.1195,0.5765,0.265,0.4022,1.0275,0.7297,0.6881,0.8595,1.0235,1.0582,0.4025,0.52,0.6007,0.6547,0.9281,0.9856,,0.9801,0.9551,1.0727,1.138,0.803,,0.4092,0.4495,0.4592,0.8442,0.3872,0.7001,0.2367,0.8898,0.37,0.8531,,0.7032,0.6575,0.5297,0.6837,0.7306,0.6395,0.2966,0.581,0.3402,0.6501,19
velocyto,0.488,0.8772,0.7064,0.5945,0.6297,0.5969,0.5697,0.6841,0.8355,0.7602,0.7998,1.0447,0.8075,0.731,0.6298,0.8742,0.6032,0.5627,0.5213,1.1784,1.1935,0.4356,0.4155,0.5419,0.4795,1.1097,0.5528,0.7222,1.1425,0.9795,1.0183,1.1703,0.8778,,0.584,0.5454,0.4696,0.7935,0.613,0.5195,0.5911,0.8787,0.7414,1.0214,0.7026,0.8611,1.1387,0.913,1.0469,0.937,0.8743,0.6196,0.5153,0.3675,0.7522,16
VeloVAE,0.6819,0.9169,1.0002,0.6812,0.865,0.8849,0.7929,0.7936,0.8883,0.8056,0.9732,1.179,0.7735,1.1096,0.9301,1.1818,1.0001,1.0246,0.9829,1.1611,1.1853,0.7108,0.9747,0.6425,0.7449,1.1124,0.6884,0.9475,1.1939,1.0969,1.071,1.2044,1.0403,,0.65,0.9943,,0.8774,0.899,0.873,0.7364,0.9154,0.9615,1.0492,0.8305,1.0792,1.112,0.8687,1.1601,1.0657,0.853,0.9134,0.729,0.7778,0.9343,2
veloVI,0.5564,0.7692,0.821,0.5098,0.3663,0.6669,0.6591,0.7212,0.6308,0.5258,0.6819,1.0702,0.6354,0.6549,0.6916,1.0719,0.6905,0.8235,0.7227,0.6694,0.9774,0.4751,0.7782,0.6012,0.576,0.882,0.5342,0.7744,1.1193,0.9372,0.8886,1.1439,0.7639,,0.5576,0.628,,0.6766,0.6209,0.6805,0.5986,0.7102,0.6822,0.8066,0.9115,0.85,0.5804,0.7333,0.7647,0.8679,0.9775,0.7163,0.5875,0.4265,0.7263,17
