Method,1_Mm_DentateGyrus,2_Mm_sympatho,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
scVelo dynamical,,-0.881511638,-0.086690234,0.873131521,0.002700641,0.445933194,-0.100937591,0.42425057,,-0.429460443,-0.40822435,0.897078811,-0.043402277,0.136346809,-0.267834498,0.407984048,0.036833402,-0.387053458,0.582908151,,,-0.169403668,0.038973293,0.102198258,,,,0.396739466,-0.277357717,0.102192877,0.232224538,0.323405862,-0.471625919,-0.294063164,0.085316112,-0.233264002,-0.458182938,0.104260888,,-0.208461925,-0.036584625,,0.220229619,0.263702404,0.50665339,0.039694595,10
scVelo stochastic,,-0.743353518,0.238900067,0.662925747,0.226711533,-0.345183698,-0.635839901,,0.063294271,-0.570924701,-0.2347447,0.948632161,0.28270486,0.459754076,-0.019772183,0.433541146,-0.173114841,-0.453422856,-0.190312723,,,-0.072786543,0.02530326,0.041767413,0.210628194,,0.382366527,0.053441819,-0.13941573,0.430488566,0.71796026,0.849293162,-0.40725495,0.503885362,0.046108715,0.515598301,-0.635444801,0.306717587,-0.870170455,-0.454735129,0.066081858,,-0.323876988,0.333303022,0.140094284,0.042798679,11
SDEvelo,-0.627866842,-0.743353518,0.238898749,0.662925747,0.226711533,-0.345206134,-0.638470235,-0.653923095,0.063803171,-0.492079477,-0.13789144,0.948605669,,0.459754385,-0.019773028,0.433541146,,-0.227229493,-0.688846436,-0.204757948,-0.015023945,-0.053626589,0.028799885,0.03791534,,,0.284167156,0.208264784,-0.025132123,0.217853395,0.778165466,0.895586349,-0.159584064,0.508229492,0.028787688,0.515598301,-0.635894095,0.243545696,-0.565992144,-0.13317761,0.17169438,,0.105701641,,0.149302095,0.021539073,7
STT,0.465360923,0.787668125,,0.10270787,,0.683600532,-0.471088579,,,-0.557176025,-0.637699054,0.939323129,,0.062125015,0.29219522,0.417452762,-0.092968914,0.354428221,-0.152739003,,,0.210006043,0.063325212,0.208915312,,,,-0.534751716,0.09867706,0.145415388,-0.17836142,0.448063519,0.555282014,,0.232353838,,-0.13021918,,-0.040784239,0.368134973,-0.088612905,,0.134384694,,-0.066955226,0.12060212,18
TFvelo,-0.454288732,-0.858974483,0.322668237,0.870350083,-0.218056703,0.177057914,0.179675271,0.798392745,0.074880386,0.399670919,-0.473465349,-0.952741983,-0.37392786,0.341490242,-0.07460188,0.265939768,-0.179250703,,-0.085339754,,-0.466551603,0.166292034,-0.056015692,-0.490679779,,,0.467745702,,-0.057970052,0.472594853,0.673587879,,0.017130745,0.573160155,-0.129799159,0.128275881,0.370302216,,0.100617915,-0.098658351,-0.385471195,-0.334227138,0.70287968,,0.031258235,0.039025688,9
TopicVelo,,-0.893613385,0.286091754,0.777191552,0.245033642,-0.620211869,-0.055110016,,,-0.125026001,,0.953784656,0.079386488,0.53695333,0.120251927,,-0.011731746,,,-0.128700066,-0.502494255,-0.367069489,-0.046741408,,,,-0.136728045,0.081830557,,,0.675727228,0.793301132,-0.274058896,-0.484580503,,0.083343151,0.348302486,-0.128275713,-0.769780494,0.027173498,-0.049828549,0.285260277,,,,0.024126939,8
UniTVelo,,-0.018375235,-0.536613927,-0.877907309,0.096898194,0.483757638,0.518485909,,0.155133554,-0.544614764,-0.081055108,0.923197909,,0.136794757,0.62711504,0.366938223,0.177020391,0.167020383,-0.074308712,0.288462698,0.608865051,0.556141514,-0.02792415,0.508145843,,,0.429569774,-0.029257257,0.251756025,0.173837874,-0.199293349,0.556330836,0.436434098,-0.711132675,-0.035751307,0.156193255,-0.390939378,0.290587216,0.807954799,-0.078857545,-0.051416119,,0.438493482,0.283371769,-0.577693773,0.133419631,19
VeloAE,,0.289205166,0.229632856,-0.788428226,0.298438287,0.259939892,0.508641234,-0.709731487,,0.667000464,-0.313309829,0.849804188,0.321762792,0.476555449,-0.107954086,-0.366328659,0.054444471,0.376465941,,0.119848974,-0.54338922,-0.73403931,-0.088056852,-0.200383948,,,-0.554026098,0.359682491,-0.348715886,-0.310814592,0.852478947,0.457057049,0.559385865,0.899368175,-0.080927927,,0.2425841,0.482610481,,-0.048937037,0.102029424,0.583643979,0.700945715,-0.270266477,0.342554232,0.120230804,17
velocyto,-0.568589379,0.786288283,0.002050228,0.530784115,-0.127122727,0.467922102,-0.318138692,,0.005967878,-0.616098493,-0.482396912,0.396523558,0.094366103,0.675428552,0.066635635,-0.70606683,-0.143306717,-0.335389877,-0.321160669,,-0.226822439,0.065605151,-0.023304976,0.443954842,,,0.175082339,0.139714785,0.017088835,0.269963418,0.079846082,0.204912265,-0.109306593,-0.641992618,0.128855508,0.430364638,-0.485687882,0.337555693,-0.888630673,-0.032086561,0.011256093,,-0.819869145,,0.747427796,-0.019701982,5
VeloVAE,-0.628160584,-0.580780629,-0.070028521,0.670292772,0.237424567,-0.272156319,-0.559612902,0.205623683,,-0.484051202,-0.248990025,0.937132916,0.24307019,0.473170963,-0.024910437,0.453402905,-0.281850054,-0.43134884,,-0.298533924,-0.127600868,-0.071232095,0.029259816,-0.004715128,,,0.460402149,0.137937275,-0.059119388,0.404582457,0.61230768,0.136020621,-0.391709322,-0.711284293,0.110590242,0.186925449,-0.627953406,0.236832515,-0.873358408,-0.450789291,-0.117734452,0.518626044,-0.32873628,0.252293638,-0.017664128,-0.033083527,2
veloVI,,0.433325369,0.018317179,0.867395234,0.321340642,0.642418627,-0.620987353,,0.136452768,-0.4972235,0.101341949,0.877509346,0.50765959,0.728954512,0.31417565,0.456096062,0.081790976,0.031330955,-0.214009471,,,0.49765769,0.131622762,-0.289412974,0.09814773,,0.622068848,0.447380401,0.144835876,0.027270105,0.047567535,0.684758623,0.378095673,-0.589776502,0.236273749,-0.128932117,0.739816896,-0.449890691,-0.21981842,-0.325187505,0.331696707,,0.146922267,0.405235846,0.404366518,0.192989424,20
