Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
scVelo dynamical,1.1444,1.1487,0.8798,0.8325,0.3651,1.2525,1.1408,1.671,0.8231,0.8523,1.0599,0.4119,1.3238,1.3896,1.0423,0.4771,1.5553,0.9569,1.1361,0.638,0.3589,1.5623,0.9842,1.0252,1.2156,0.4853,1.1127,0.8783,0.3812,0.6534,0.6665,0.374,0.7954,,1.5012,0.8074,,0.7966,0.8741,1.211,1.648,0.6196,1.148,0.4966,0.9335,0.9811,0.4644,1.1609,0.7637,0.9078,0.6651,0.8905,0.7846,0.8918,0.9258,5
scVelo stochastic,1.1444,1.1487,0.8798,0.8326,0.3651,1.2525,1.1397,1.671,0.8143,0.8526,1.1451,0.4119,1.2278,1.4642,1.0423,0.4771,1.5553,0.9569,1.1361,0.638,0.3589,1.5623,0.9842,1.0252,1.2156,0.6307,1.1125,0.8783,0.3829,0.7286,0.6665,0.3742,0.7917,,1.5011,0.8074,,0.7966,0.8737,1.4248,1.648,0.6193,1.148,0.4969,0.9335,0.981,0.4629,1.1609,0.7637,0.9078,0.6686,0.883,0.7942,0.8905,0.9352,7
SDEvelo,1.1445,1.1487,0.8798,,0.3651,1.2525,1.1397,1.671,0.8234,0.8528,0.9339,0.4118,1.5649,1.3896,1.0423,0.4771,1.5553,0.9569,1.1361,0.638,0.3589,1.5623,0.9842,1.0252,1.2156,,1.1129,0.9447,0.3734,0.0766,0.6665,0.3745,0.7922,,1.5012,0.8074,,0.7964,0.9975,1.2035,1.5715,0.6192,1.0596,0.4975,0.9335,0.9811,0.4657,1.1609,0.7637,0.904,0.6686,0.8918,,0.8903,0.9303,6
STT,1.2591,1.4775,0.9593,0.8326,0.6552,1.3593,1.1676,1.4542,1.0068,1.1379,,0.7487,,1.8307,1.1968,0.2943,1.5398,1.0948,1.1106,0.988,0.988,1.5694,1.1738,1.0566,1.3974,0.9722,,0.8452,,,0.8223,0.5994,0.9418,,1.5663,,1.0948,,0.9856,1.1327,1.5002,0.8877,,0.8224,,1.1273,0.4951,,1.0103,0.9796,0.6701,,,,1.0688,15
TFvelo,1.5876,1.8178,1.7543,1.7207,1.1891,1.4853,1.4314,1.7501,1.284,1.1597,1.8124,1.1194,2.0512,1.712,1.4283,1.103,1.9211,1.2285,1.7763,0.8583,0.5606,1.9026,1.7646,1.3126,1.8438,0.936,,1.261,,1.2831,0.9298,0.6128,0.9781,,1.6369,1.6871,,1.5162,1.4007,1.5189,,0.6788,1.7355,0.9215,1.0882,1.4122,1.5393,1.3909,1.1453,1.2555,1.6411,1.5747,1.4678,1.2746,1.3972,19
TopicVelo,,0,0.3386,0.042,0.377,0.3434,0.529,0,0.0176,0.0333,,,0.2614,,0.3108,0.1389,0.2445,0.9362,0.1435,0.1533,0.1132,0,0,0.9595,,0.5338,0.2829,,0.6534,0.6534,0.6045,0.2547,0,,0,0,0.5565,0.0373,,1.211,1.6367,0.011,1.1431,0,1.4773,0,0.0551,0.5437,0,0.88,1.5807,,,,0.5169,2
UniTVelo,1.1566,1.151,0.8798,0.8595,0.3697,1.2631,1.1452,1.671,0.8238,0.8741,1.0599,0.4133,1.337,1.4622,1.0591,0.4771,1.5591,0.9852,1.1362,0.638,0.3589,1.5737,1.0025,1.0253,1.2293,0.4853,1.1447,0.8789,0.3812,0.6534,0.6736,0.3741,0.7959,,1.501,0.8629,1.0115,0.797,0.8879,1.211,1.648,0.6195,1.148,0.5133,0.9335,1.0065,0.4645,1.1609,0.7637,0.9078,1.5831,0.873,0.7988,0.8905,0.9525,9
VeloAE,1.6685,1.59,1.286,1.3657,1.3065,1.7726,1.7687,1.6561,1.3013,1.6539,1.4938,0.6208,1.9195,3.3098,1.7741,1.012,2.6356,1.1714,2.4555,1.1348,0.8134,1.8384,1.7483,1.6006,2.2839,1.2703,1.5864,,1.3135,1.2763,1.0935,1.0315,1.7645,,1.8999,1.5774,2.1173,1.8886,2.4621,1.0962,2.0736,0.7694,1.7499,1.1138,,2.2501,1.822,1.6165,1.388,1.7003,2.0107,1.9307,1.2735,1.1822,1.6165,20
velocyto,1.401,0.7606,1.3413,1.1226,0.912,0.8688,0.7468,0.9732,1.1831,1.0997,1.4619,0.2138,1.498,1.3918,0.8949,0.2489,1.6063,0.4011,0.1637,0.6645,0.4014,1.0142,1.6809,0.6318,0.3626,0.8654,1.5052,1.2881,0.7488,1.2298,0.3881,0.819,1.0467,,1.2088,0.5525,0.8033,1.1464,1.504,1.3992,1.1007,0.8236,1.6661,0.7577,0.9242,1.3946,0.4817,0.6497,0.2743,0.4047,1.0656,0.4283,1.2741,1.1909,0.9431,8
VeloVAE,1.1485,1.2884,0.8341,0.8236,0.5464,1.2595,1.1435,1.708,0.877,0.918,1.131,0.4151,1.3994,1.4452,1.0401,0.4608,1.5546,0.9643,1.1401,0.6369,0.3669,1.5719,0.9784,1.0617,1.4178,0.3641,1.1382,0.8247,0.3831,0.6514,0.6695,0.3742,0.795,,1.5372,0.8264,,0.82,0.875,1.2022,1.651,0.6337,1.15,0.5388,1.4317,0.9926,0.4997,1.16,0.7594,0.8916,1.5714,1.0851,0.8485,0.9164,0.9754,11
veloVI,1.2103,1.428,1.0134,0.9571,0.6256,1.4035,1.224,1.5971,1.0416,1.0589,1.546,0.8787,1.5418,2.0682,1.2332,0.4366,1.6189,1.1778,1.2002,1.3614,0.6391,1.6318,1.2361,1.0324,1.5615,0.9802,1.2367,1.0162,0.3836,1.13,0.9656,0.6142,0.8694,,1.5718,1.2254,,0.8625,0.9548,1.2232,1.6625,0.7131,1.5647,0.7471,0.9061,1.2152,0.9903,1.2249,1.0311,1.0615,0.6862,0.9079,0.75,0.852,1.1167,16
